[run number],density,influence-weight,num-agents,network-type,social-influence,broadcast-influence,influential-fraction,[reporter],[final],[min],[max],[mean],[steps]
1,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,40,0,40,20,40
2,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,26,0,26,13,26
3,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,29,0,29,14.5,29
4,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,29,0,29,14.5,29
5,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,19,0,19,9.5,19
6,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
7,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,24,0,24,12,24
8,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,28,0,28,14,28
9,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,27,0,27,13.5,27
10,0.3,0.75,50,preferential-attachment,0.7,0.05,0.1,ticks,38,0,38,19,38
11,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,39,0,39,19.5,39
12,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,23,0,23,11.5,23
13,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,36,0,36,18,36
14,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,42,0,42,21,42
15,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,27,0,27,13.5,27
16,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,43,0,43,21.5,43
17,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
18,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,21,0,21,10.5,21
19,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,23,0,23,11.5,23
20,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,28,0,28,14,28
21,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,42,0,42,21,42
22,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,28,0,28,14,28
23,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
24,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,37,0,37,18.5,37
25,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,27,0,27,13.5,27
26,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,45,0,45,22.5,45
27,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,26,0,26,13,26
28,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,38,0,38,19,38
29,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,38,0,38,19,38
30,0.3,0.75,150,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
31,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,62,0,62,31,62
32,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,31,0,31,15.5,31
33,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,35,0,35,17.5,35
34,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,41,0,41,20.5,41
35,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,45,0,45,22.5,45
36,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,29,0,29,14.5,29
37,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
38,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
39,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
40,0.3,0.75,200,preferential-attachment,0.7,0.05,0.1,ticks,42,0,42,21,42
41,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,49,0,49,24.5,49
42,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
43,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,35,0,35,17.5,35
44,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,48,0,48,24,48
45,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,34,0,34,17,34
46,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,36,0,36,18,36
47,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,46,0,46,23,46
48,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,27,0,27,13.5,27
49,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,52,0,52,26,52
50,0.3,0.75,250,preferential-attachment,0.7,0.05,0.1,ticks,44,0,44,22,44
