[run number],density,influence-weight,num-agents,network-type,social-influence,broadcast-influence,influential-fraction,[reporter],[final],[min],[max],[mean],[steps]
1,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,53,0,53,26.5,53
2,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,62,0,62,31,62
3,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,42,0,42,21,42
4,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,53,0,53,26.5,53
5,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,91,0,91,45.5,91
6,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,51,0,51,25.5,51
7,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,47,0,47,23.5,47
8,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,76,0,76,38,76
9,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,130,0,130,65,130
10,0.3,0.75,100,preferential-attachment,0.1,0.05,0.1,ticks,57,0,57,28.5,57
11,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,52,0,52,26,52
12,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,46,0,46,23,46
13,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,60,0,60,30,60
14,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,49,0,49,24.5,49
15,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,59,0,59,29.5,59
16,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,75,0,75,37.5,75
17,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,66,0,66,33,66
18,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,41,0,41,20.5,41
19,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,53,0,53,26.5,53
20,0.3,0.75,100,preferential-attachment,0.2,0.05,0.1,ticks,46,0,46,23,46
